"Package info","Package info (number only)","Inches","Centimeters","Title","Display date","Start date","End date","Extent","Normalized extent","Parent category","NEDCC start #","NEDCC end #","Creator","Notes"
"Package 84","84","5x7","13 x 18 cm","Founder’s Day","1930","","","10 negatives","10","","","","",""
"Package 84","84","5x7","13 x 18 cm","Founder’s Day","1929","","","6 negatives","6","","","","",""
"Package 84","84","5x7","13 x 18 cm","Founder’s Day","1927","","","6 negatives","6","","","","",""
"Package 84","84","5x7","13 x 18 cm","Founder’s Day","1924","","","10 negatives","10","","","","",""
